video_hashid,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00320001_2024-06-22_3_6f2d18df77,0:07:07,0.92,1.0,0.99,True,True,True,0.4
00320001_2024-07-07_3_0aaed385b7,0:02:15,0.2,0.24,0.26,False,False,False,0.4
00320001_2024-07-13_4_2e46d2b674,0:04:29,0.81,0.94,0.94,True,True,True,0.4
00320001_2024-07-21_1_f699c91a3f,0:05:55,0.16,0.21,0.19,False,False,False,0.4
00320001_2024-07-21_1_f699c91a3f,0:16:17,0.27,0.34,0.3,False,False,False,0.4
00320001_2024-07-27_2_317152076e,0:06:53,0.31,0.35,0.33,False,False,False,0.4
00320001_2024-07-27_2_317152076e,0:14:07,0.42,0.49,0.44,True,True,True,0.4
00320001_2024-07-28_1_292a87ede7,0:06:03,0.58,0.65,0.63,True,True,True,0.4
00320001_2024-08-02_1_8c51d31093,0:07:37,0.41,0.31,0.83,True,False,True,0.4
00320001_2024-08-11_2_ed0ede8726,0:01:29,0.74,0.88,0.79,True,True,True,0.4
00320001_2024-08-15_1_f0a137607b,0:13:11,0.86,0.84,0.85,True,True,True,0.4
00320001_2024-08-15_1_f0a137607b,0:13:24,0.93,1.0,0.96,True,True,True,0.4
00320001_2024-08-17_1_f914520ee2,0:02:13,0.21,0.23,0.22,False,False,False,0.4
00320001_2024-08-17_4_d2e26fce17,0:04:29,0.52,0.49,0.48,True,True,True,0.4
00320001_2024-08-25_1_190ee00983,0:00:09,0.15,0.2,0.17,False,False,False,0.4
00320001_2024-08-31_2_f5c323e973,0:05:07,0.86,0.89,0.87,True,True,True,0.4
00320001_2024-09-05_2_9e9a6d30d2,0:12:49,0.38,0.44,0.42,False,True,True,0.4
00320001_2024-09-15_1_a65be9ec0b,0:09:32,0.16,0.16,0.17,False,False,False,0.4
00320001_2024-09-15_1_abbaf85eb5,0:05:13,0.22,0.26,0.48,False,False,True,0.4
00320001_2024-09-15_1_c16fd8bc3f,0:03:32,0.19,0.24,0.41,False,False,True,0.4
00320001_2024-09-29_2_321e612af5,0:02:21,0.19,0.22,0.49,False,False,True,0.4
00320001_2024-10-06_2_476e121a94,0:00:50,0.36,0.27,0.49,False,False,True,0.4
00320001_2024-10-13_1_1d8162f2b7,0:00:24,0.2,0.24,0.29,False,False,False,0.4
00320001_2024-10-13_1_1d8162f2b7,0:05:19,0.22,0.21,0.19,False,False,False,0.4
00320001_2024-10-13_2_f8df80d89c,0:10:04,0.35,0.34,0.43,False,False,True,0.4
00320001_2024-10-20_2_9360c5cbca,0:09:35,0.59,0.69,0.62,True,True,True,0.4
00320001_2024-10-20_5_37a45111e2,0:04:43,0.32,0.16,0.69,False,False,True,0.4
00320002_2024-02-12_1_ef72700be0,0:06:21,0.36,0.4,0.39,False,True,False,0.4
00320002_2024-04-01_1_4c4ec35339,0:16:02,0.3,0.37,0.33,False,False,False,0.4
00320002_2024-04-19_1_d5e2abd789,0:11:39,0.25,0.31,0.29,False,False,False,0.4
00320002_2024-05-17_3_09ca7943c8,0:01:09,0.26,0.23,0.25,False,False,False,0.4
00320002_2024-05-20_1_0c74713cd3,0:00:28,0.74,0.95,0.84,True,True,True,0.4
00320002_2024-06-07_1_f9926246bd,0:02:58,0.26,0.25,0.52,False,False,True,0.4
00320002_2024-06-10_3_9b0a6e578c,0:10:58,0.16,0.22,0.17,False,False,False,0.4
00320002_2024-07-07_1_b9c2758a16,0:10:07,0.92,1.0,0.99,True,True,True,0.4
00320002_2024-07-11_3_65a36f8797,0:02:38,0.86,1.0,0.92,True,True,True,0.4
00320002_2024-08-16_1_2cf8121f13,0:01:14,0.23,0.24,0.63,False,False,True,0.4
00320002_2024-08-16_1_2cf8121f13,0:09:40,0.23,0.2,0.48,False,False,True,0.4
00320002_2024-08-19_1_6460e5718c,0:08:56,0.87,0.88,0.87,True,True,True,0.4
00320002_2024-08-31_1_14df422801,0:01:27,0.33,0.23,0.48,False,False,True,0.4
00320002_2024-09-15_1_6afd477484,0:06:23,0.93,1.06,1.03,True,True,True,0.4
00320002_2024-11-15_1_67744cd4df,0:01:16,0.61,0.43,0.9,True,True,True,0.4
00320002_2024-11-15_3_7b4e089a32,0:07:19,0.19,0.21,0.21,False,False,False,0.4
00320002_2024-11-24_1_80713d250f,0:09:15,0.33,0.23,0.49,False,False,True,0.4
00320003_2024-02-22_1_e33a1c5c24,0:14:23,0.14,0.12,0.12,False,False,False,0.4
00320003_2024-03-08_2_fd7d50ceb6,0:00:04,0.31,0.35,0.63,False,False,True,0.4
00320003_2024-03-10_1_cb83bcbb22,0:11:03,0.21,0.16,0.16,False,False,False,0.4
00320003_2024-03-17_1_d88df26ba3,0:10:14,0.61,0.78,0.75,True,True,True,0.4
00320003_2024-03-24_2_53a9b0ff2c,0:02:01,0.12,0.2,0.25,False,False,False,0.4
00320003_2024-03-24_2_7d972c7b1a,0:07:36,0.15,0.17,0.15,False,False,False,0.4
00320003_2024-05-04_1_bcb470a01a,0:10:19,0.56,0.66,0.64,True,True,True,0.4
00320003_2024-05-04_2_5344ba50cf,0:00:14,0.65,0.84,0.82,True,True,True,0.4
00320003_2024-05-19_1_337dc6d1e7,0:11:14,0.32,0.24,0.5,False,False,True,0.4
00320003_2024-05-19_1_ef9a26227b,0:01:54,0.3,0.28,0.74,False,False,True,0.4
00320003_2024-05-19_2_decdc11561,0:03:11,0.53,0.84,0.77,True,True,True,0.4
00320003_2024-06-02_1_fcbc9dbfec,0:03:43,0.77,0.84,0.81,True,True,True,0.4
00320003_2024-06-27_2_d8c28ae65c,0:04:24,0.22,0.29,0.28,False,False,False,0.4
00320003_2024-07-10_1_99da316247,0:03:34,0.48,0.67,0.66,True,True,True,0.4
00320003_2024-07-26_3_5390509fea,0:11:54,0.97,1.02,0.97,True,True,True,0.4
00320003_2024-08-24_2_aa393a33e9,0:04:11,0.26,0.3,0.29,False,False,False,0.4
00320003_2024-09-01_2_979d2ffd29,0:11:45,0.45,0.49,0.47,True,True,True,0.4
